"statementText","ProlificID","click_rating","share_rating","agreement_rating","Educational.Level","DemRep_C_num","Ideology_econ_num","Ideology_soc_num","ideology","income_num","gender","Household","AttentionCheck2","top25pre","bottom25pre","lower25pre","upper25pre","top25post","bottom25post","lower25post","upper25post","inequality_subj_1","inequality_pol_1","inequality_luck_1_1","inequality_subj_2","inequality_pol_2","inequality_luck_2_1","item_nr","condition"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","67167ad12ffc53d3eb6b3b41",3,3,4,"High school graduate (high school diploma or equivalent including GED)",-1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",70,5,10,15,70,5,10,15,5,4,5,5,4,5,44,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","67167ad12ffc53d3eb6b3b41",3,3,4,"High school graduate (high school diploma or equivalent including GED)",-1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",70,5,10,15,70,5,10,15,5,4,5,5,4,5,21,"flipped"
"Dividend Payments Work: The Surprising Success of Alaska's Permanent Fund","67167ad12ffc53d3eb6b3b41",3,3,4,"High school graduate (high school diploma or equivalent including GED)",-1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",70,5,10,15,70,5,10,15,5,4,5,5,4,5,76,"flipped"
"Report Highlights Racial Wealth Gap in US Tax System","67167ad12ffc53d3eb6b3b41",4,3,5,"High school graduate (high school diploma or equivalent including GED)",-1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",70,5,10,15,70,5,10,15,5,4,5,5,4,5,1,"flipped"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,92,"original"
"Voter turnout in metro Atlanta differs by region, race and income","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,70,"original"
"2024: A Defining Election For Black Rights And Economic Equality","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,31,"original"
"How can we understand wealth inequality across countries?","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,3,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,1,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","5d9b7f29654a3102c8112b63",4,4,4,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,36,"original"
"Can Low Interest Rates Drive Inequality?","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,26,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,21,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,76,"original"
"Bernie Sanders 2020: Is US inequality the highest?","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,23,"original"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,95,"flipped"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","5d9b7f29654a3102c8112b63",4,4,4,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,44,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,5,"flipped"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,50,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,16,"flipped"
"Despite Increased Funding, Minnesota Students Lag Behind Peers","5d9b7f29654a3102c8112b63",4,4,4,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,103,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,2,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,15,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,34,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","5d9b7f29654a3102c8112b63",7,7,7,"Associate degree in college (2-year)",-3,-2,-2,-2,1,"Female",1,"Not at all interested,Extremely interested",75,0,0,25,77,0,0,23,7,7,6,7,7,6,65,"flipped"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","60de9c66c01a9de405e9efb0",5,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,76,"original"
"Wage Gap Statistics: The Numbers Behind Pay Disparity","60de9c66c01a9de405e9efb0",2,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,15,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","60de9c66c01a9de405e9efb0",6,1,6,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,21,"original"
"Can Low Interest Rates Drive Inequality?","60de9c66c01a9de405e9efb0",2,1,3,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,26,"original"
"Jamie Dimon on how economic inequality fueled political polarization and what can be done","60de9c66c01a9de405e9efb0",1,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,95,"original"
"Voter turnout in metro Atlanta differs by region, race and income","60de9c66c01a9de405e9efb0",1,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,70,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","60de9c66c01a9de405e9efb0",6,1,6,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,50,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","60de9c66c01a9de405e9efb0",7,1,5,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,92,"original"
"Bernie Sanders 2020: Is US inequality the highest?","60de9c66c01a9de405e9efb0",6,1,5,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,23,"original"
"Global Wealth Report 2024","60de9c66c01a9de405e9efb0",3,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,5,"original"
"Report Highlights Racial Wealth Gap in US Tax System","60de9c66c01a9de405e9efb0",6,1,5,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,1,"flipped"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","60de9c66c01a9de405e9efb0",1,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,44,"flipped"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","60de9c66c01a9de405e9efb0",6,1,6,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,3,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","60de9c66c01a9de405e9efb0",5,1,5,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,34,"flipped"
"Despite Increased Funding, Minnesota Students Lag Behind Peers","60de9c66c01a9de405e9efb0",1,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,103,"flipped"
"Black Americans Face a Critical Choice in the 2024 Election","60de9c66c01a9de405e9efb0",2,1,5,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,31,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","60de9c66c01a9de405e9efb0",1,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,16,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","60de9c66c01a9de405e9efb0",4,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,2,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","60de9c66c01a9de405e9efb0",4,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,65,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","60de9c66c01a9de405e9efb0",3,1,4,"High school graduate (high school diploma or equivalent including GED)",-1,-1,-1,-1,1,"Male",1,"Not at all interested,Extremely interested",2,51,35,12,2,68,19,11,6,5,3,6,6,3,36,"flipped"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","6632541d67ff015d18ac2d31",2,2,1,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,44,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","6632541d67ff015d18ac2d31",4,1,2,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,21,"original"
"How can we understand wealth inequality across countries?","6632541d67ff015d18ac2d31",6,1,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,3,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","6632541d67ff015d18ac2d31",4,1,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,76,"original"
"Voter turnout in metro Atlanta differs by region, race and income","6632541d67ff015d18ac2d31",2,1,2,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,70,"original"
"2024: A Defining Election For Black Rights And Economic Equality","6632541d67ff015d18ac2d31",1,1,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,31,"original"
"Tax cuts for the wealthy only benefit the rich: debunking trickle-down economics","6632541d67ff015d18ac2d31",1,3,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,65,"original"
"Bernie Sanders 2020: Is US inequality the highest?","6632541d67ff015d18ac2d31",2,2,2,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,23,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","6632541d67ff015d18ac2d31",6,4,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,36,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","6632541d67ff015d18ac2d31",4,4,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,1,"original"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","6632541d67ff015d18ac2d31",2,4,1,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,26,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","6632541d67ff015d18ac2d31",2,1,3,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,34,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","6632541d67ff015d18ac2d31",4,1,3,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,92,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","6632541d67ff015d18ac2d31",5,1,3,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,2,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","6632541d67ff015d18ac2d31",3,4,3,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,95,"flipped"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","6632541d67ff015d18ac2d31",2,3,5,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,50,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","6632541d67ff015d18ac2d31",4,3,4,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,5,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","6632541d67ff015d18ac2d31",5,4,6,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,15,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","6632541d67ff015d18ac2d31",4,4,5,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,16,"flipped"
"Despite Increased Funding, Minnesota Students Lag Behind Peers","6632541d67ff015d18ac2d31",1,1,5,"Associate degree in college (2-year)",1,1,-1,0,1,"Female",2,"Not at all interested,Extremely interested",46,5,13,36,80,4,6,10,4,3,4,4,3,4,103,"flipped"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","67f7768ad2fb98795731b642",3,4,4,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,76,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","67f7768ad2fb98795731b642",5,6,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,50,"original"
"Voter turnout in metro Atlanta differs by region, race and income","67f7768ad2fb98795731b642",5,4,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,70,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","67f7768ad2fb98795731b642",5,7,5,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,103,"original"
"How can we understand wealth inequality across countries?","67f7768ad2fb98795731b642",7,7,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,3,"original"
"Can Low Interest Rates Drive Inequality?","67f7768ad2fb98795731b642",4,6,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,26,"original"
"Wage Gap Statistics: The Numbers Behind Pay Disparity","67f7768ad2fb98795731b642",4,6,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,15,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","67f7768ad2fb98795731b642",7,6,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,21,"original"
"2024: A Defining Election For Black Rights And Economic Equality","67f7768ad2fb98795731b642",5,6,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,31,"original"
"Bernie Sanders 2020: Is US inequality the highest?","67f7768ad2fb98795731b642",7,6,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,23,"original"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","67f7768ad2fb98795731b642",6,4,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,16,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","67f7768ad2fb98795731b642",5,6,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,65,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","67f7768ad2fb98795731b642",5,7,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,5,"flipped"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","67f7768ad2fb98795731b642",5,6,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,44,"flipped"
"Report Highlights Racial Wealth Gap in US Tax System","67f7768ad2fb98795731b642",5,6,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,1,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","67f7768ad2fb98795731b642",5,5,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,95,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","67f7768ad2fb98795731b642",7,6,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,36,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","67f7768ad2fb98795731b642",4,6,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,34,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","67f7768ad2fb98795731b642",7,5,7,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,2,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","67f7768ad2fb98795731b642",6,5,6,"Bachelor's degree in college (4-year)",3,2,2,2,4,"Male",3,"Not at all interested,Extremely interested",37,10,22,31,51,4,14,31,6,5,7,6,7,5,92,"flipped"
"Voter turnout in metro Atlanta differs by region, race and income","66e6e00d42f8b0c2ef2ed06a",2,3,6,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,70,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","66e6e00d42f8b0c2ef2ed06a",5,2,5,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,103,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","66e6e00d42f8b0c2ef2ed06a",1,1,3,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,44,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","66e6e00d42f8b0c2ef2ed06a",6,3,6,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,1,"original"
"The Paradox Of Progress For Black Americans","66e6e00d42f8b0c2ef2ed06a",2,1,3,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,34,"original"
"Global Wealth Report 2024","66e6e00d42f8b0c2ef2ed06a",5,3,6,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,5,"original"
"New report exposes tax system’s role in widening racial wealth gap, calls for urgent reforms","66e6e00d42f8b0c2ef2ed06a",7,3,4,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,2,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","66e6e00d42f8b0c2ef2ed06a",7,7,4,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,92,"original"
"Can Low Interest Rates Drive Inequality?","66e6e00d42f8b0c2ef2ed06a",4,1,1,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,26,"original"
"Economic Gains From Tech Come at the Cost of Rising Wealth Inequality","66e6e00d42f8b0c2ef2ed06a",3,1,2,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,16,"original"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","66e6e00d42f8b0c2ef2ed06a",4,2,4,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,50,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","66e6e00d42f8b0c2ef2ed06a",7,4,5,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,21,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","66e6e00d42f8b0c2ef2ed06a",6,3,4,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,95,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","66e6e00d42f8b0c2ef2ed06a",3,1,1,"High school graduate (high school diploma or equivalent including GED)",-3,-2,-2,-2,1,"Male",1,"Not at all interested,Extremely interested",61,4,7,28,79,6,7,8,7,7,6,7,7,3,36,"flipped"
